literal	document	document_line_number	log_file	log_line_number	matched_text
85.80	walkthrough.md	199	build_report_tables_stdout.txt	23	l Test Accuracy = **85.80%** (batch centroids
3.60	walkthrough.md	199	verify_all_numbers_stdout.txt	89	', '2.22', '3.46', '3.60']
+37.20	walkthrough.md	200	run_p8_milestone_ledger_audit_stdout.txt	80	Prior Value : +37.20% BWT, 100.0% Gap Cl
-42.09	walkthrough.md	200	build_report_tables_stdout.txt	13	% $\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
1.99	walkthrough.md	200	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
94.0	walkthrough.md	201	build_report_tables_stdout.txt	36	$ (Classes 60-69) | 94.0% | 98.0% | **-4.0 p
1e-6	walkthrough.md	201	run_n1_3x3_ncm_recheck_stdout.txt	52	Check (NCM 1e-4 == 1e-6 within 0.01 pp): Fa
0.2966	walkthrough.md	201	verify_all_numbers_stdout.txt	89	+65.90', '-37.36', '0.2966', '11.80', '2.22',
0.2966	walkthrough.md	201	verify_all_numbers_stdout.txt	89	+65.90', '-37.36', '0.2966', '11.80', '2.22',
47.60	walkthrough.md	202	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
33.40	walkthrough.md	202	run_p7_strict_citation_audit_stdout.txt	44	_MISSING (['0.82', '33.40'])
1.93	walkthrough.md	202	build_report_tables_stdout.txt	13	** | **47.60% $\pm$ 1.93%** | **-42.09% $\pm
0.82	walkthrough.md	202	run_p7_strict_citation_audit_stdout.txt	44	| FAIL_MISSING (['0.82', '33.40'])
-90.89	walkthrough.md	203	run_p8_milestone_ledger_audit_stdout.txt	105	Value : -37.20% and -90.89% (Commit 5443ef1 /
-42.09	walkthrough.md	203	build_report_tables_stdout.txt	13	% $\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
48.80	walkthrough.md	203	run_p7_strict_citation_audit_stdout.txt	45	_MISSING (['1.45', '48.80'])
1.99	walkthrough.md	203	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
1.45	walkthrough.md	203	run_p7_strict_citation_audit_stdout.txt	45	| FAIL_MISSING (['1.45', '48.80'])
79.80	walkthrough.md	204	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
0.76	walkthrough.md	204	build_report_tables_stdout.txt	13	** | **79.80% $\pm$ 0.76%** |
16.60	walkthrough.md	204	run_p7_strict_citation_audit_stdout.txt	46	| FAIL_MISSING (['16.60'])
-8.22	walkthrough.md	205	build_report_tables_stdout.txt	24	text{BWT} = \mathbf{-8.22\%}$ | $\text{Forget
0.00	walkthrough.md	205	audit_dataset_integrity_stdout.txt	166	n Leakage Fraction: 0.0000 (0.00%)
-14.0	walkthrough.md	208	build_report_tables_stdout.txt	31	| 82.0% | 96.0% | **-14.0 pp** |
46.00	walkthrough.md	231	run_k4_k5_k6_offline_bound_search_stdout.txt	104	.0) Test Accuracy = 46.00%
82.20	walkthrough.md	232	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
82.20	walkthrough.md	233	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
61.67	walkthrough.md	234	audit_pca_grid_and_lasttok_stdout.txt	52	| 1e-04    |  61.67%      |  54.00%
63.33	walkthrough.md	234	audit_pca_grid_and_lasttok_stdout.txt	51	| 1e-06    |  63.33%      |  52.33%
63.33	walkthrough.md	235	audit_pca_grid_and_lasttok_stdout.txt	51	| 1e-06    |  63.33%      |  52.33%
89.71	walkthrough.md	236	run_o5_rescore_p21_p11_p13_p14_stdout.txt	6	mean-across-folds): 89.71% via ('MultinomialL
0.0	walkthrough.md	236	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
0.0	walkthrough.md	236	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
9.80	walkthrough.md	237	build_report_tables_stdout.txt	12	-43.78% | 43.78% | 9.80% | 80.60% |
10.20	walkthrough.md	237	build_report_tables_stdout.txt	8	-41.11% | 41.11% | 10.20% | 79.00% |
94.0	walkthrough.md	237	build_report_tables_stdout.txt	36	$ (Classes 60-69) | 94.0% | 98.0% | **-4.0 p
+37.20	walkthrough.md	238	run_p8_milestone_ledger_audit_stdout.txt	80	Prior Value : +37.20% BWT, 100.0% Gap Cl
100.0	walkthrough.md	238	build_report_tables_stdout.txt	30	es 00-09) | 88.0% | 100.0% | **-12.0 pp** |
48.20	walkthrough.md	239	run_n4_pca_collapse_audit_stdout.txt	54	, Honest Test Acc = 48.20% (MultinomialLogReg
0.0	walkthrough.md	239	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
58.67	walkthrough.md	239	audit_pca_grid_and_lasttok_stdout.txt	61	| 1e-04    |  58.67%      |  49.33%
0.0	walkthrough.md	240	evaluate_m_phase_comprehensive_stdout.txt	133	ltinomialLogReg (wd=0.0)   |  79.60%
47.60	walkthrough.md	241	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
1.93	walkthrough.md	241	build_report_tables_stdout.txt	13	** | **47.60% $\pm$ 1.93%** | **-42.09% $\pm
47.60	walkthrough.md	242	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
1.93	walkthrough.md	242	build_report_tables_stdout.txt	13	** | **47.60% $\pm$ 1.93%** | **-42.09% $\pm
-37.20	walkthrough.md	243	run_p8_milestone_ledger_audit_stdout.txt	105	Prior Value : -37.20% and -90.89% (Commi
-90.89	walkthrough.md	243	run_p8_milestone_ledger_audit_stdout.txt	105	Value : -37.20% and -90.89% (Commit 5443ef1 /
-42.09	walkthrough.md	243	build_report_tables_stdout.txt	13	% $\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
1.99	walkthrough.md	243	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
82.20	walkthrough.md	244	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
79.80	walkthrough.md	244	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
0.76	walkthrough.md	244	build_report_tables_stdout.txt	13	** | **79.80% $\pm$ 0.76%** |
82.20	walkthrough.md	244	run_o2_reproducibility_check_stdout.txt	43	, HONEST_TEST_ACC = 82.20%
0.00	walkthrough.md	245	audit_dataset_integrity_stdout.txt	166	n Leakage Fraction: 0.0000 (0.00%)
-8.22	walkthrough.md	245	build_report_tables_stdout.txt	24	text{BWT} = \mathbf{-8.22\%}$ | $\text{Forget
21.40	walkthrough.md	248	run_p1_full_selection_grid_stdout.txt	13	21.00% | Max Test: 21.40% via MultinomialLog
+5.40	walkthrough.md	249	verify_all_numbers_stdout.txt	89	[UNMAPPED LIST]: ['+5.40', '+65.90', '-37.36
+65.90	walkthrough.md	250	verify_all_numbers_stdout.txt	89	D LIST]: ['+5.40', '+65.90', '-37.36', '0.2966
79.80	walkthrough.md	251	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
0.76	walkthrough.md	251	build_report_tables_stdout.txt	13	** | **79.80% $\pm$ 0.76%** |
50.80	walkthrough.md	264	build_report_tables_stdout.txt	8	| 42 | 50.80% | -41.11% | 41.11%
-41.11	walkthrough.md	264	build_report_tables_stdout.txt	8	| 42 | 50.80% | -41.11% | 41.11% | 10.20%
41.11	walkthrough.md	264	build_report_tables_stdout.txt	8	| 42 | 50.80% | -41.11% | 41.11% | 10.20%
10.20	walkthrough.md	264	build_report_tables_stdout.txt	8	-41.11% | 41.11% | 10.20% | 79.00% |
79.00	walkthrough.md	264	build_report_tables_stdout.txt	8	| 41.11% | 10.20% | 79.00% |
47.40	walkthrough.md	265	build_report_tables_stdout.txt	9	| 43 | 47.40% | -42.67% | 42.67%
-42.67	walkthrough.md	265	build_report_tables_stdout.txt	9	| 43 | 47.40% | -42.67% | 42.67% | 10.60%
42.67	walkthrough.md	265	build_report_tables_stdout.txt	9	| 43 | 47.40% | -42.67% | 42.67% | 10.60%
10.60	walkthrough.md	265	build_report_tables_stdout.txt	9	-42.67% | 42.67% | 10.60% | 80.60% |
80.60	walkthrough.md	265	build_report_tables_stdout.txt	9	| 42.67% | 10.60% | 80.60% |
47.60	walkthrough.md	266	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
-39.11	walkthrough.md	266	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11% | 10.20%
39.11	walkthrough.md	266	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11% | 10.20%
10.20	walkthrough.md	266	build_report_tables_stdout.txt	8	-41.11% | 41.11% | 10.20% | 79.00% |
79.60	walkthrough.md	266	build_report_tables_stdout.txt	10	| 39.11% | 10.20% | 79.60% |
45.80	walkthrough.md	267	build_report_tables_stdout.txt	11	| 45 | 45.80% | -43.78% | 43.78%
-43.78	walkthrough.md	267	build_report_tables_stdout.txt	11	| 45 | 45.80% | -43.78% | 43.78% | 10.40%
43.78	walkthrough.md	267	build_report_tables_stdout.txt	11	| 45 | 45.80% | -43.78% | 43.78% | 10.40%
10.40	walkthrough.md	267	build_report_tables_stdout.txt	11	-43.78% | 43.78% | 10.40% | 79.20% |
79.20	walkthrough.md	267	build_report_tables_stdout.txt	11	| 43.78% | 10.40% | 79.20% |
46.40	walkthrough.md	268	build_report_tables_stdout.txt	12	| 46 | 46.40% | -43.78% | 43.78%
-43.78	walkthrough.md	268	build_report_tables_stdout.txt	11	| 45 | 45.80% | -43.78% | 43.78% | 10.40%
43.78	walkthrough.md	268	build_report_tables_stdout.txt	11	| 45 | 45.80% | -43.78% | 43.78% | 10.40%
9.80	walkthrough.md	268	build_report_tables_stdout.txt	12	-43.78% | 43.78% | 9.80% | 80.60% |
80.60	walkthrough.md	268	build_report_tables_stdout.txt	9	| 42.67% | 10.60% | 80.60% |
47.60	walkthrough.md	269	build_report_tables_stdout.txt	10	| 44 | 47.60% | -39.11% | 39.11%
1.93	walkthrough.md	269	build_report_tables_stdout.txt	13	** | **47.60% $\pm$ 1.93%** | **-42.09% $\pm
-42.09	walkthrough.md	269	build_report_tables_stdout.txt	13	% $\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
1.99	walkthrough.md	269	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
42.09	walkthrough.md	269	build_report_tables_stdout.txt	13	$\pm$ 1.93%** | **-42.09% $\pm$ 1.99%** | **
1.99	walkthrough.md	269	build_report_tables_stdout.txt	13	* | **-42.09% $\pm$ 1.99%** | **42.09% $\pm$
10.24	walkthrough.md	269	build_report_tables_stdout.txt	13	% $\pm$ 1.99%** | **10.24% $\pm$ 0.30%** | **
79.80	walkthrough.md	269	build_report_tables_stdout.txt	13	% $\pm$ 0.30%** | **79.80% $\pm$ 0.76%** |
0.76	walkthrough.md	269	build_report_tables_stdout.txt	13	** | **79.80% $\pm$ 0.76%** |
88.0	walkthrough.md	274	build_report_tables_stdout.txt	30	$ (Classes 00-09) | 88.0% | 100.0% | **-12.0
100.0	walkthrough.md	274	build_report_tables_stdout.txt	30	es 00-09) | 88.0% | 100.0% | **-12.0 pp** |
-12.0	walkthrough.md	274	build_report_tables_stdout.txt	30	88.0% | 100.0% | **-12.0 pp** |
82.0	walkthrough.md	275	build_report_tables_stdout.txt	31	$ (Classes 10-19) | 82.0% | 96.0% | **-14.0
96.0	walkthrough.md	275	build_report_tables_stdout.txt	31	es 10-19) | 82.0% | 96.0% | **-14.0 pp** |
-14.0	walkthrough.md	275	build_report_tables_stdout.txt	31	| 82.0% | 96.0% | **-14.0 pp** |
82.0	walkthrough.md	276	build_report_tables_stdout.txt	31	$ (Classes 10-19) | 82.0% | 96.0% | **-14.0
96.0	walkthrough.md	276	build_report_tables_stdout.txt	31	es 10-19) | 82.0% | 96.0% | **-14.0 pp** |
-14.0	walkthrough.md	276	build_report_tables_stdout.txt	31	| 82.0% | 96.0% | **-14.0 pp** |
86.0	walkthrough.md	277	build_report_tables_stdout.txt	33	$ (Classes 30-39) | 86.0% | 96.0% | **-10.0
96.0	walkthrough.md	277	build_report_tables_stdout.txt	31	es 10-19) | 82.0% | 96.0% | **-14.0 pp** |
-10.0	walkthrough.md	277	build_report_tables_stdout.txt	33	| 86.0% | 96.0% | **-10.0 pp** |
82.0	walkthrough.md	278	build_report_tables_stdout.txt	31	$ (Classes 10-19) | 82.0% | 96.0% | **-14.0
92.0	walkthrough.md	278	build_report_tables_stdout.txt	34	es 40-49) | 82.0% | 92.0% | **-10.0 pp** |
-10.0	walkthrough.md	278	build_report_tables_stdout.txt	33	| 86.0% | 96.0% | **-10.0 pp** |
86.0	walkthrough.md	279	build_report_tables_stdout.txt	33	$ (Classes 30-39) | 86.0% | 96.0% | **-10.0
90.0	walkthrough.md	279	build_report_tables_stdout.txt	35	es 50-59) | 86.0% | 90.0% | **-4.0 pp** |
-4.0	walkthrough.md	279	build_report_tables_stdout.txt	35	| 86.0% | 90.0% | **-4.0 pp** |
94.0	walkthrough.md	280	build_report_tables_stdout.txt	36	$ (Classes 60-69) | 94.0% | 98.0% | **-4.0 p
98.0	walkthrough.md	280	build_report_tables_stdout.txt	36	es 60-69) | 94.0% | 98.0% | **-4.0 pp** |
-4.0	walkthrough.md	280	build_report_tables_stdout.txt	35	| 86.0% | 90.0% | **-4.0 pp** |
84.0	walkthrough.md	281	build_report_tables_stdout.txt	37	$ (Classes 70-79) | 84.0% | 90.0% | **-6.0 p
90.0	walkthrough.md	281	build_report_tables_stdout.txt	35	es 50-59) | 86.0% | 90.0% | **-4.0 pp** |
-6.0	walkthrough.md	281	build_report_tables_stdout.txt	37	| 84.0% | 90.0% | **-6.0 pp** |
90.0	walkthrough.md	282	build_report_tables_stdout.txt	35	es 50-59) | 86.0% | 90.0% | **-4.0 pp** |
90.0	walkthrough.md	282	build_report_tables_stdout.txt	35	es 50-59) | 86.0% | 90.0% | **-4.0 pp** |
+0.0	walkthrough.md	282	build_report_tables_stdout.txt	38	| 90.0% | 90.0% | **+0.0 pp** |
-8.22	walkthrough.md	283	build_report_tables_stdout.txt	24	text{BWT} = \mathbf{-8.22\%}$ | $\text{Forget
100	walkthrough.md	298	audit_dataset_integrity_stdout.txt	6	Total facts: 100
7.67	walkthrough.md	303	audit_pca_grid_and_lasttok_stdout.txt	77	|   7.67%    |   8.67%    |
40.33	walkthrough.md	305	audit_pca_grid_and_lasttok_stdout.txt	62	|  42.33%      |  40.33%
1.66	walkthrough.md	312	run_gate1_diagnostic_stdout.txt	48	: 34.80% +/- 1.66%
3.0	walkthrough.md	312	run_n1_to_n9_master_stdout.txt	53	rdict (Difference > 3.0 pp): False -> Verdi
63.33	walkthrough.md	312	audit_pca_grid_and_lasttok_stdout.txt	51	| 1e-06    |  63.33%      |  52.33%
66.00	walkthrough.md	317	evaluate_m_phase_comprehensive_stdout.txt	134	ogReg (wd=0.01)  |  66.00%           |  68.40
3.40	walkthrough.md	319	run_p7_strict_citation_audit_stdout.txt	28	| FAIL_MISSING (['3.40', '83.60', '85.60']
83.60	walkthrough.md	319	evaluate_m_phase_comprehensive_stdout.txt	129	82.80%           |  83.60%
1e-6	walkthrough.md	334	run_n1_3x3_ncm_recheck_stdout.txt	52	Check (NCM 1e-4 == 1e-6 within 0.01 pp): Fa
0.82	walkthrough.md	335	run_p7_strict_citation_audit_stdout.txt	44	| FAIL_MISSING (['0.82', '33.40'])
33.40	walkthrough.md	335	run_p7_strict_citation_audit_stdout.txt	44	_MISSING (['0.82', '33.40'])
1.45	walkthrough.md	336	run_p7_strict_citation_audit_stdout.txt	45	| FAIL_MISSING (['1.45', '48.80'])
48.80	walkthrough.md	336	run_p7_strict_citation_audit_stdout.txt	45	_MISSING (['1.45', '48.80'])
16.60	walkthrough.md	337	run_p7_strict_citation_audit_stdout.txt	46	| FAIL_MISSING (['16.60'])
7.67	walkthrough.md	367	audit_pca_grid_and_lasttok_stdout.txt	77	|   7.67%    |   8.67%    |
40.33	walkthrough.md	367	audit_pca_grid_and_lasttok_stdout.txt	62	|  42.33%      |  40.33%
1.66	walkthrough.md	367	run_gate1_diagnostic_stdout.txt	48	: 34.80% +/- 1.66%
3.0	walkthrough.md	367	run_n1_to_n9_master_stdout.txt	53	rdict (Difference > 3.0 pp): False -> Verdi
63.33	walkthrough.md	367	audit_pca_grid_and_lasttok_stdout.txt	51	| 1e-06    |  63.33%      |  52.33%
66.00	walkthrough.md	367	evaluate_m_phase_comprehensive_stdout.txt	134	ogReg (wd=0.01)  |  66.00%           |  68.40
3.40	walkthrough.md	367	run_p7_strict_citation_audit_stdout.txt	28	| FAIL_MISSING (['3.40', '83.60', '85.60']
83.60	walkthrough.md	367	evaluate_m_phase_comprehensive_stdout.txt	129	82.80%           |  83.60%
1e-6	walkthrough.md	367	run_n1_3x3_ncm_recheck_stdout.txt	52	Check (NCM 1e-4 == 1e-6 within 0.01 pp): Fa
0.82	walkthrough.md	367	run_p7_strict_citation_audit_stdout.txt	44	| FAIL_MISSING (['0.82', '33.40'])
33.40	walkthrough.md	367	run_p7_strict_citation_audit_stdout.txt	44	_MISSING (['0.82', '33.40'])
1.45	walkthrough.md	367	run_p7_strict_citation_audit_stdout.txt	45	| FAIL_MISSING (['1.45', '48.80'])
48.80	walkthrough.md	367	run_p7_strict_citation_audit_stdout.txt	45	_MISSING (['1.45', '48.80'])
16.60	walkthrough.md	367	run_p7_strict_citation_audit_stdout.txt	46	| FAIL_MISSING (['16.60'])
+5.40	walkthrough.md	410	verify_all_numbers_stdout.txt	89	[UNMAPPED LIST]: ['+5.40', '+65.90', '-37.36
+65.90	walkthrough.md	410	verify_all_numbers_stdout.txt	89	D LIST]: ['+5.40', '+65.90', '-37.36', '0.2966
2.22	walkthrough.md	410	verify_all_numbers_stdout.txt	89	'0.2966', '11.80', '2.22', '3.46', '3.60']
